,Job ID,Skills
0,job_f5b9fdbe1b1b92ea,Python
1,job_f5b9fdbe1b1b92ea,GitHub
2,job_f5b9fdbe1b1b92ea,React
3,job_f5b9fdbe1b1b92ea,SQL
4,job_1a7279e93ddce5ce,R
5,job_1a7279e93ddce5ce,Python
6,job_1a7279e93ddce5ce,Tableau
7,job_1a7279e93ddce5ce,SQL
8,job_1a7279e93ddce5ce,Power BI
9,job_b911c03b9d00086e,SQL
10,job_921abbbbc2e1152e,Excel
11,job_33c51d95f57be466,Excel
12,job_33c51d95f57be466,Power BI
13,job_e81f8dfb708ddaa5,Tableau
14,job_e81f8dfb708ddaa5,SAS
15,job_e81f8dfb708ddaa5,SQL
16,job_e81f8dfb708ddaa5,Power BI
17,job_e841886dbae45349,Looker
18,job_e841886dbae45349,Google Analytics
19,job_e841886dbae45349,Python
20,job_e841886dbae45349,Tableau
21,job_e841886dbae45349,Excel
22,job_e841886dbae45349,SQL
23,job_e841886dbae45349,Power BI
24,job_2f28da9a1ddb6ff6,R
25,job_2f28da9a1ddb6ff6,Python
26,job_2f28da9a1ddb6ff6,Tableau
27,job_2f28da9a1ddb6ff6,Excel
28,job_2f28da9a1ddb6ff6,SQL
29,job_0b49f17533182b3b,Excel
30,job_2deb187b0869af94,Parcel
31,job_f873831495266d7d,Realm
32,job_f873831495266d7d,Excel
33,job_9e2fe366e5e4cc7e,Looker
34,job_9e2fe366e5e4cc7e,Google Analytics
35,job_9e2fe366e5e4cc7e,Python
36,job_9e2fe366e5e4cc7e,SQL
37,job_1ab88c0550bda56c,AWS
38,job_1ab88c0550bda56c,Tableau
39,job_1ab88c0550bda56c,PowerPoint
40,job_1ab88c0550bda56c,React
41,job_1ab88c0550bda56c,SQL
42,job_1ab88c0550bda56c,Power BI
43,job_05609a16cb72c56b,Jira
44,job_05609a16cb72c56b,Looker
45,job_05609a16cb72c56b,Confluence
46,job_05609a16cb72c56b,Tableau
47,job_05609a16cb72c56b,SQL
48,job_05609a16cb72c56b,Power BI
49,job_05609a16cb72c56b,Bigquery
50,job_83768a8f838c2ec2,R
51,job_83768a8f838c2ec2,Azure
52,job_83768a8f838c2ec2,Python
53,job_83768a8f838c2ec2,Tableau
54,job_83768a8f838c2ec2,Excel
55,job_83768a8f838c2ec2,SAS
56,job_83768a8f838c2ec2,SQL
57,job_83768a8f838c2ec2,Power BI
58,job_690d869278092217,Git
59,job_690d869278092217,Python
60,job_690d869278092217,Airflow
61,job_690d869278092217,SQL
62,job_690d869278092217,Docker
63,job_2fa2690bcb046396,Excel
64,job_2fa2690bcb046396,SQL
65,job_2fa2690bcb046396,Power BI
66,job_8f4a1ff395addae8,R
67,job_8f4a1ff395addae8,Python
68,job_8f4a1ff395addae8,Tableau
69,job_8f4a1ff395addae8,Excel
70,job_8f4a1ff395addae8,SQL
71,job_8f4a1ff395addae8,Power BI
72,job_6dff977063f2388e,Excel
73,job_9a9daccdc5d0f49c,Excel
74,job_a646cd1acfa6e500,R
75,job_a646cd1acfa6e500,Java
76,job_a646cd1acfa6e500,Google Analytics
77,job_a646cd1acfa6e500,C++
78,job_a646cd1acfa6e500,Scala
79,job_a646cd1acfa6e500,Python
80,job_a646cd1acfa6e500,Tableau
81,job_a646cd1acfa6e500,SQL
82,job_a646cd1acfa6e500,MySQL
83,job_a646cd1acfa6e500,Redshift
84,job_a646cd1acfa6e500,Bigquery
85,job_5f9a0647d913799b,R
86,job_5f9a0647d913799b,Python
87,job_5f9a0647d913799b,Excel
88,job_5f9a0647d913799b,SQL
89,job_b8fc3af003e7a633,Salesforce
90,job_b8fc3af003e7a633,Python
91,job_b8fc3af003e7a633,Tableau
92,job_b8fc3af003e7a633,Excel
93,job_b8fc3af003e7a633,SQL
94,job_b8fc3af003e7a633,Power BI
95,job_465f24a0a3f0937c,Oracle
96,job_465f24a0a3f0937c,Hadoop
97,job_465f24a0a3f0937c,Python
98,job_465f24a0a3f0937c,Tableau
99,job_465f24a0a3f0937c,SAS
100,job_465f24a0a3f0937c,SQL
101,job_465f24a0a3f0937c,Power BI
102,job_465f24a0a3f0937c,QlikView
103,job_465f24a0a3f0937c,Teradata
104,job_465f24a0a3f0937c,Power BI
105,job_86e7422f7964ada4,Oracle
106,job_86e7422f7964ada4,Python
107,job_86e7422f7964ada4,Excel
108,job_86e7422f7964ada4,SQL
109,job_6ef5eacc09633e82,Python
110,job_6ef5eacc09633e82,PowerPoint
